UTC Timestamp,Game Type,Map,Team,Match Outcome,Skill,Score,Shots,Hits,Assists,Longest Streak,Kills,Deaths,Headshots,Damage Done,Damage Taken,Percentage Of Time Moving,Lifetime Games Played,Lifetime Wins,Lifetime Losses,Game Mode,K/D,E/D
2025-01-19 16:47:11,Hardpoint,Skyline,allies,loss,205,3620,508,118,9,3,19,29,5,2627,3407,98.63%,230,128,101,Ranked,0.66,0.97
2025-01-19 16:32:36,Hardpoint,Protocol,axis,win,204,5130,528,140,6,4,29,32,4,2997,3866,96.30%,229,128,100,Ranked,0.91,1.09
2025-01-19 16:16:40,Hardpoint,Vault,allies,loss,222,4155,455,122,3,3,23,34,3,3058,3785,93.79%,228,127,100,Ranked,0.68,0.76
2025-01-19 16:04:51,Hardpoint,Skyline,axis,win,213,4515,576,174,11,4,28,25,11,3665,3321,99.61%,227,127,99,Ranked,1.12,1.56
2025-01-19 15:49:40,Hardpoint,Protocol,allies,loss,225,5170,484,117,12,4,27,35,2,2754,4138,98.29%,226,126,99,Ranked,0.77,1.11
2025-01-19 15:36:00,Hardpoint,Hacienda,allies,win,236,4695,495,130,10,6,22,25,4,2800,3151,98.69%,225,126,98,Ranked,0.88,1.28
2025-01-19 15:12:26,Control,Hacienda,allies,win,239,4875,668,181,8,5,34,33,4,3886,4054,96.15%,224,125,98,Ranked,1.03,1.27
2025-01-19 14:56:05,Control,Vault,allies,win,238,2905,421,122,2,3,23,23,1,2913,3000,95.13%,223,124,98,Ranked,1.0,1.09
2025-01-19 14:42:10,Hardpoint,Skyline,axis,loss,241,2325,364,100,0,4,19,19,2,2105,2365,97.99%,222,123,98,Ranked,1.0,1.0
2025-01-19 14:28:55,Search and Destroy,Vault,axis,loss,239,950,123,26,1,4,7,6,0,797,870,75.38%,221,123,97,Ranked,1.17,1.33
2025-01-17 22:19:50,Control,Vault,axis,loss,247,4025,568,119,4,4,30,33,2,3117,3883,95.74%,220,123,96,Ranked,0.91,1.03
2025-01-17 22:03:56,Hardpoint,Skyline,allies,win,239,5125,574,168,12,5,28,25,2,3721,3184,93.17%,219,123,95,Ranked,1.12,1.6
2025-01-17 21:49:27,Search and Destroy,Red Card,allies,loss,253,100,73,21,0,1,1,6,0,409,699,54.57%,218,122,95,Ranked,0.17,0.17
2025-01-17 21:35:45,Control,Protocol,axis,win,252,2490,372,102,4,6,18,19,3,2196,2411,97.28%,217,122,94,Ranked,0.95,1.16
2025-01-17 00:23:59,Hardpoint,Hacienda,axis,loss,249,3380,425,117,6,3,21,28,2,2591,3379,99.28%,213,121,91,Ranked,0.75,0.96
2025-01-16 23:52:23,Hardpoint,Hacienda,allies,win,263,3705,485,122,8,3,18,33,2,2527,3950,97.84%,211,121,89,Ranked,0.55,0.79
2025-01-17 00:07:59,Search and Destroy,Skyline,axis,loss,246,640,172,42,1,4,6,7,0,924,888,67.57%,212,121,90,Ranked,0.86,1.0
2025-01-17 20:51:43,Hardpoint,Protocol,axis,loss,246,5500,577,170,6,4,34,29,6,3753,3576,96.98%,215,121,93,Ranked,1.17,1.38
2025-01-17 20:37:43,Control,Vault,allies,loss,248,3145,427,112,4,4,23,23,3,2664,2771,94.25%,214,121,92,Ranked,1.0,1.17
2025-01-17 21:14:09,Control,Protocol,axis,loss,254,5140,666,199,9,3,37,36,9,4462,4567,96.44%,216,121,94,Ranked,1.03,1.28
2025-01-16 23:38:54,Hardpoint,Skyline,allies,loss,261,5165,572,144,9,4,28,31,5,3343,3363,100.00%,210,120,89,Ranked,0.9,1.19
2025-01-16 23:24:03,Control,Protocol,allies,win,246,3010,382,102,6,8,20,11,3,2427,1584,88.95%,209,120,88,Ranked,1.82,2.36
2025-01-16 23:11:23,Control,Protocol,allies,win,243,2370,300,85,7,3,15,16,3,1997,1936,96.19%,208,119,88,Ranked,0.94,1.38
2025-01-16 22:59:15,Control,Protocol,allies,win,257,2300,341,78,7,3,13,16,2,2103,1867,96.86%,207,118,88,Ranked,0.81,1.25
2025-01-16 22:41:33,Control,Protocol,axis,loss,263,3910,500,143,5,4,26,29,7,3304,3587,96.82%,206,117,88,Ranked,0.9,1.07
2025-01-16 22:20:21,Hardpoint,Vault,axis,loss,252,5310,648,189,6,4,36,32,3,3909,3991,96.09%,205,117,87,Ranked,1.12,1.31
2025-01-16 21:54:51,Hardpoint,Hacienda,axis,win,237,5825,661,173,3,6,32,25,2,3581,3101,97.45%,204,117,86,Ranked,1.28,1.4
2025-01-16 21:37:15,Control,Protocol,axis,win,228,4335,601,181,6,5,33,25,3,4049,3053,90.53%,203,116,86,Ranked,1.32,1.56
2025-01-16 20:26:26,Search and Destroy,Skyline,allies,win,227,1150,155,46,1,6,10,6,3,1156,647,61.43%,201,115,85,Ranked,1.67,1.83
2025-01-16 20:40:58,Search and Destroy,Protocol,axis,loss,242,565,110,17,1,2,3,6,0,448,694,49.26%,202,115,86,Ranked,0.5,0.67
2025-01-16 19:14:39,Search and Destroy,Protocol,allies,win,226,775,157,30,0,3,6,4,0,836,610,62.93%,200,114,85,Ranked,1.5,1.5
2025-01-16 19:00:55,Search and Destroy,Vault,allies,win,224,615,108,16,4,1,2,3,0,504,446,75.22%,199,113,85,Ranked,0.67,2.0
2025-01-16 18:38:37,Control,Protocol,allies,win,219,4550,609,174,7,4,33,31,7,3891,3667,94.79%,198,112,85,Ranked,1.06,1.29
2025-01-16 18:26:42,Hardpoint,Protocol,allies,loss,238,2185,318,89,6,2,12,29,0,2017,3083,99.16%,197,111,85,Ranked,0.41,0.62
2025-01-16 18:11:31,Hardpoint,Red Card,axis,win,248,4810,559,161,10,5,27,31,3,3677,3783,98.40%,196,111,84,Ranked,0.87,1.19
2025-01-16 17:55:21,Hardpoint,Skyline,allies,loss,243,5620,573,177,9,4,29,25,5,3652,3397,95.39%,195,110,84,Ranked,1.16,1.52
2025-01-16 17:35:31,Hardpoint,Skyline,allies,win,246,3600,490,160,3,4,28,24,5,3391,3172,98.21%,194,110,83,Ranked,1.17,1.29
2025-01-16 16:56:34,Search and Destroy,Protocol,allies,loss,235,1505,180,39,4,4,10,7,2,1409,1008,75.97%,193,109,83,Ranked,1.43,2.0
2025-01-16 16:44:58,Hardpoint,Vault,axis,win,226,3795,354,116,7,6,18,14,0,2236,2049,95.83%,192,109,82,Ranked,1.29,1.79
2025-01-16 16:18:34,Hardpoint,Hacienda,axis,win,218,5015,572,163,7,5,31,27,3,3413,3122,95.85%,191,108,82,Ranked,1.15,1.41
2025-01-16 16:02:00,Search and Destroy,Hacienda,axis,win,207,1175,181,52,0,4,11,5,2,1313,645,74.24%,190,107,82,Ranked,2.2,2.2
2025-01-16 15:37:40,Hardpoint,Vault,allies,win,221,4695,615,179,13,4,27,35,7,4088,4106,100.00%,189,106,82,Ranked,0.77,1.14
2025-01-16 15:17:26,Search and Destroy,Skyline,axis,win,205,1250,149,54,1,4,10,5,2,1062,773,68.73%,188,105,82,Ranked,2.0,2.2
2025-01-16 15:01:46,Hardpoint,Hacienda,allies,win,202,4915,521,141,8,6,28,26,4,3480,3043,98.57%,187,104,82,Ranked,1.08,1.38
2025-01-16 14:48:13,Hardpoint,Hacienda,axis,loss,216,4690,528,126,8,3,24,28,3,2945,3238,97.86%,186,103,82,Ranked,0.86,1.14
2025-01-16 14:21:50,Hardpoint,Skyline,axis,loss,229,4905,536,176,7,3,29,31,7,3644,3599,93.29%,185,103,81,Ranked,0.94,1.16
2025-01-16 14:08:44,Hardpoint,Skyline,allies,loss,217,4850,542,175,8,4,29,24,4,3454,3077,96.29%,184,103,80,Ranked,1.21,1.54
2025-01-16 13:58:40,Hardpoint,Protocol,allies,loss,236,2595,384,122,4,3,18,23,4,2729,2802,100.00%,183,103,79,Ranked,0.78,0.96
2025-01-16 00:18:03,Hardpoint,Vault,allies,loss,234,4825,523,146,9,8,28,30,4,3346,3615,96.93%,182,103,78,Ranked,0.93,1.23
2025-01-16 00:03:19,Hardpoint,Protocol,axis,win,226,6285,667,180,15,5,31,27,4,3805,3377,97.05%,181,103,77,Ranked,1.15,1.7
2025-01-15 17:53:26,Control,Vault,axis,win,213,3055,329,89,6,7,20,10,2,2475,1556,98.29%,180,102,77,Ranked,2.0,2.6
2025-01-15 17:35:50,Hardpoint,Skyline,allies,win,205,5215,585,179,13,4,29,28,6,3541,3153,98.18%,179,101,77,Ranked,1.04,1.5
2025-01-15 17:24:46,Hardpoint,Protocol,allies,loss,219,3195,389,113,8,4,19,23,0,2573,2533,98.88%,178,100,77,Ranked,0.83,1.17
2025-01-11 22:45:36,Hardpoint,Vault,axis,loss,229,3985,560,162,9,2,25,33,3,3319,4043,96.96%,177,100,76,Ranked,0.76,1.03
2025-01-11 22:27:10,Search and Destroy,Protocol,allies,loss,216,1300,195,38,0,4,11,8,2,1048,1147,67.78%,176,100,75,Ranked,1.38,1.38
2025-01-11 22:12:21,Hardpoint,Skyline,axis,loss,209,5530,764,194,15,4,34,34,6,4035,3925,98.61%,175,100,74,Ranked,1.0,1.44
2025-01-11 21:54:57,Search and Destroy,Vault,allies,win,216,675,148,15,1,2,4,10,3,310,1088,71.74%,174,100,73,Ranked,0.4,0.5
2025-01-11 21:33:07,Control,Protocol,allies,win,218,4620,707,190,16,6,25,28,4,4131,3441,92.75%,173,99,73,Ranked,0.89,1.46
2025-01-11 21:12:01,Hardpoint,Hacienda,axis,win,236,4190,526,138,9,3,20,31,3,3088,3591,94.96%,172,98,73,Ranked,0.65,0.94
2025-01-11 18:57:07,Search and Destroy,Protocol,allies,win,236,1015,120,22,1,3,7,6,0,863,882,69.53%,171,97,73,Ranked,1.17,1.33
2025-01-11 18:32:28,Hardpoint,Protocol,axis,win,235,4165,520,125,8,3,26,24,5,2926,2739,96.03%,170,96,73,Ranked,1.08,1.42
2025-01-10 22:56:23,Control,Vault,axis,win,229,3680,433,139,5,4,28,24,2,3140,2596,91.91%,169,95,73,Ranked,1.17,1.38
2025-01-10 22:26:26,Hardpoint,Protocol,allies,loss,235,4635,659,173,7,3,27,32,6,3610,3729,97.40%,167,94,72,Ranked,0.84,1.06
2025-01-10 21:48:36,Hardpoint,Skyline,allies,loss,236,5125,710,194,13,6,31,32,4,3905,3736,97.46%,166,94,71,Ranked,0.97,1.38
2025-01-10 21:34:09,Control,Vault,allies,loss,233,2920,448,103,6,7,20,22,2,2545,2779,97.50%,165,94,70,Ranked,0.91,1.18
2025-01-10 21:19:51,Hardpoint,Skyline,allies,win,234,4495,671,175,6,6,33,29,5,3526,3786,96.42%,164,94,69,Ranked,1.14,1.34
2025-01-10 21:01:01,Hardpoint,Hacienda,allies,win,225,5495,571,170,9,5,32,26,6,3522,3396,97.33%,163,93,69,Ranked,1.23,1.58
2025-01-10 13:45:26,Hardpoint,Protocol,allies,loss,238,4705,512,158,12,4,24,32,6,3397,3597,98.36%,159,92,66,Ranked,0.75,1.12
2025-01-09 22:35:46,Hardpoint,Hacienda,allies,win,218,4835,551,164,4,5,30,25,5,3448,3394,97.08%,157,92,64,Ranked,1.2,1.36
2025-01-09 22:52:05,Hardpoint,Protocol,allies,loss,226,5730,613,168,8,8,32,27,2,3741,3372,98.50%,158,92,65,Ranked,1.19,1.48
2025-01-10 13:59:17,Hardpoint,Skyline,axis,loss,225,4360,588,160,10,3,26,32,8,3275,3999,97.67%,160,92,67,Ranked,0.81,1.12
2025-01-10 14:13:53,Hardpoint,Protocol,axis,loss,211,6275,611,216,9,6,38,30,7,4318,3642,94.13%,161,92,68,Ranked,1.27,1.57
2025-01-10 20:47:13,Hardpoint,Protocol,allies,loss,224,4830,577,144,8,4,29,29,1,3082,3555,99.03%,162,92,69,Ranked,1.0,1.28
2025-01-09 22:25:13,Control,Vault,axis,win,206,3390,345,107,6,7,22,13,3,2582,1837,99.17%,156,91,64,Ranked,1.69,2.15
2025-01-09 22:09:40,Hardpoint,Hacienda,allies,win,213,4445,569,156,10,4,23,29,4,3266,3115,96.73%,155,90,64,Ranked,0.79,1.14
2025-01-09 21:55:39,Hardpoint,Skyline,axis,win,224,3905,591,126,6,2,21,26,6,2640,3153,95.36%,154,89,64,Ranked,0.81,1.04
2025-01-09 21:38:26,Hardpoint,Protocol,allies,win,211,6545,623,188,9,8,38,29,8,4117,3314,94.45%,153,88,64,Ranked,1.31,1.62
2025-01-09 21:16:15,Hardpoint,Hacienda,allies,loss,224,3680,473,140,4,3,23,32,3,2810,3547,94.10%,152,87,64,Ranked,0.72,0.84
2025-01-09 21:01:19,Hardpoint,Protocol,allies,loss,213,4885,628,174,7,4,32,25,9,3859,3164,98.12%,151,87,63,Ranked,1.28,1.56
2025-01-09 20:46:10,Search and Destroy,Skyline,allies,win,207,1000,203,54,1,3,8,7,0,1183,948,64.02%,150,87,62,Ranked,1.14,1.29
2025-01-09 19:20:44,Hardpoint,Hacienda,axis,loss,212,3405,435,111,6,3,20,25,3,2446,2937,98.30%,149,86,62,Ranked,0.8,1.04
2025-01-09 18:55:46,Hardpoint,Protocol,axis,win,196,6475,725,208,10,13,37,19,6,4432,2938,96.28%,148,86,61,Ranked,1.95,2.47
2025-01-07 23:15:41,Search and Destroy,Skyline,axis,win,212,855,189,29,4,1,3,10,0,673,1073,62.74%,147,85,61,Ranked,0.3,0.7
2025-01-07 22:59:04,Hardpoint,Protocol,allies,win,228,4890,553,146,9,6,25,31,5,2981,3602,98.24%,146,84,61,Ranked,0.81,1.1
2025-01-07 22:46:08,Hardpoint,Skyline,allies,win,215,5705,747,189,8,5,33,22,9,3713,2984,94.52%,145,83,61,Ranked,1.5,1.86
2025-01-07 17:53:07,Hardpoint,Hacienda,axis,win,234,4860,456,118,5,5,27,27,3,2693,3326,98.97%,143,82,60,Ranked,1.0,1.19
2025-01-07 18:10:44,Hardpoint,Skyline,allies,loss,233,2500,368,89,8,2,13,32,2,2030,3510,98.55%,144,82,61,Ranked,0.41,0.66
2025-01-07 17:39:42,Control,Vault,axis,win,222,3550,452,103,8,4,23,18,0,2785,2290,98.12%,142,81,60,Ranked,1.28,1.72
2025-01-07 17:23:31,Hardpoint,Protocol,allies,win,222,5410,491,146,11,6,26,27,2,3143,3452,98.10%,141,80,60,Ranked,0.96,1.37
2025-01-07 17:07:30,Hardpoint,Vault,allies,win,210,5830,662,178,8,3,34,30,9,4071,3659,98.44%,140,79,60,Ranked,1.13,1.4
2025-01-07 12:33:53,Hardpoint,Vault,axis,loss,229,4765,569,128,8,2,24,34,3,3127,3874,94.63%,139,78,60,Ranked,0.71,0.94
2025-01-07 12:06:24,Hardpoint,Skyline,allies,win,214,6560,640,159,6,5,39,28,4,3718,3726,96.13%,138,78,59,Ranked,1.39,1.61
2025-01-07 11:52:16,Hardpoint,Vault,allies,win,204,5395,617,154,9,7,36,24,3,3663,3068,97.27%,137,77,59,Ranked,1.5,1.88
2025-01-07 11:26:42,Search and Destroy,Skyline,axis,loss,224,325,80,14,0,1,3,7,0,325,701,46.51%,136,76,59,Ranked,0.43,0.43
2025-01-07 11:11:23,Search and Destroy,Skyline,axis,loss,237,750,167,30,2,2,5,7,1,798,1010,81.33%,135,76,58,Ranked,0.71,1.0
2025-01-07 10:55:38,Hardpoint,Vault,axis,win,231,5540,398,118,9,3,26,24,3,3102,3225,91.82%,134,76,57,Ranked,1.08,1.46
2025-01-05 21:06:31,Search and Destroy,Protocol,allies,win,225,1325,193,47,3,3,9,7,2,1393,1079,65.63%,133,75,57,Ranked,1.29,1.71
2025-01-05 01:03:28,Hardpoint,Protocol,allies,win,218,4755,537,176,2,7,33,17,6,3701,2501,97.61%,132,74,57,Ranked,1.94,2.06
2025-01-05 00:42:18,Control,Vault,allies,win,204,5115,689,195,10,5,37,21,9,4284,2954,97.32%,131,73,57,Ranked,1.76,2.24
2025-01-05 00:20:29,Control,Vault,allies,win,207,4695,657,197,12,4,30,29,4,4198,3695,90.74%,130,72,57,Ranked,1.03,1.45
2025-01-04 23:24:13,Control,Vault,allies,win,210,2600,359,72,5,7,19,13,2,2193,1891,96.06%,127,71,55,Ranked,1.46,1.85
2025-01-05 00:04:46,Hardpoint,Hacienda,allies,loss,211,5985,573,187,13,4,27,30,3,3976,3596,99.02%,129,71,57,Ranked,0.9,1.33
2025-01-04 23:49:38,Hardpoint,Skyline,allies,loss,221,4070,694,178,14,4,24,30,6,3807,3760,98.93%,128,71,56,Ranked,0.8,1.27
2025-01-04 22:59:05,Hardpoint,Skyline,axis,loss,226,3790,549,155,11,3,21,31,3,3267,3648,99.65%,126,70,55,Ranked,0.68,1.03
2025-01-04 20:45:45,Search and Destroy,Protocol,allies,loss,240,565,144,25,1,2,4,8,0,739,1007,60.70%,125,70,54,Ranked,0.5,0.62
2025-01-04 20:28:17,Hardpoint,Hacienda,axis,win,234,5685,675,189,10,4,32,27,2,3859,3376,99.07%,124,70,53,Ranked,1.19,1.56
2025-01-04 20:16:01,Search and Destroy,Protocol,axis,win,241,350,41,7,0,2,3,5,0,275,588,36.23%,123,69,53,Ranked,0.6,0.6
2025-01-03 12:21:46,Hardpoint,Skyline,allies,win,246,5475,617,176,10,4,30,32,2,3512,3840,96.80%,122,68,53,Ranked,0.94,1.25
2025-01-02 19:01:53,Search and Destroy,Hacienda,allies,win,249,1040,172,36,4,3,7,7,1,942,862,69.74%,121,67,53,Ranked,1.0,1.57
2025-01-02 18:45:06,Search and Destroy,Skyline,axis,win,250,740,165,26,3,3,5,5,2,866,686,67.07%,120,66,53,Ranked,1.0,1.6
2025-01-02 18:20:59,Hardpoint,Protocol,axis,loss,237,2955,424,120,5,3,20,25,1,2611,2728,98.88%,118,64,53,Ranked,0.8,1.0
